Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","004","Afghanistan","71761","Emissions intensity","F1718","Cereals excluding rice","2014","2014","kg CO2eq/kg product","0.1039","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","2014","2014","kilotonnes","645.3659","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","5510","Production","F1718","Cereals excluding rice","2014","2014","tonnes","6211023","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","71761","Emissions intensity","0113","Rice","2014","2014","kg CO2eq/kg product","1.7575","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","0113","Rice","2014","2014","kilotonnes","943.7687","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","5510","Production","0113","Rice","2014","2014","tonnes","537000","A","Official figure"
"EI","Emissions intensities","004","Afghanistan","71761","Emissions intensity","21111.01","Meat of cattle with the bone, fresh or chilled","2014","2014","kg CO2eq/kg product","9.7429","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","21111.01","Meat of cattle with the bone, fresh or chilled","2014","2014","kilotonnes","1174.462","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2014","2014","tonnes","120545","I","Imputed value"
"EI","Emissions intensities","004","Afghanistan","71761","Emissions intensity","02211","Raw milk of cattle","2014","2014","kg CO2eq/kg product","3.9801","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","02211","Raw milk of cattle","2014","2014","kilotonnes","8361.08","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2014","2014","tonnes","2100702","I","Imputed value"
"EI","Emissions intensities","004","Afghanistan","71761","Emissions intensity","21116","Meat of goat, fresh or chilled","2014","2014","kg CO2eq/kg product","24.0442","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","723113","Emissions (CO2eq) (AR5)","21116","Meat of goat, fresh or chilled","2014","2014","kilotonnes","1074.9219","E","Estimated value"
"EI","Emissions intensities","004","Afghanistan","5510","Production","21116","Meat of goat, fresh or chilled","2014","2014","tonnes","44706","I","Imputed value"
